,weight,mu_annual,contrib_return,asset_vol_annual,marg_risk,risk_contrib,risk_contrib_pct,label
NVDA,0.0,0.1344211832571328,0.0,0.5385903276087635,0.3512704417257197,0.0,0.0,Weak
DDOG,0.0,0.0226503528541442,0.0,0.5559763350963913,0.29155017930721766,0.0,0.0,Weak
KLAC,1.4610087161121782e-06,0.0768201741718769,1.122349440383678e-07,0.4275838349752488,0.3003581676557445,4.388259009005257e-07,2.5973559810365044e-06,Weak
PLTR,0.01455024348722302,0.171471566390448,0.0024949530421165458,0.6780559833990061,0.37948885034017354,0.005521655173135861,0.0326819908755035,Strong
MANH,0.0,0.0320666769238217,0.0,0.39053036164175764,0.2236404479495996,0.0,0.0,Weak
SNPS,0.0,0.0287976570476823,0.0,0.4410422772655066,0.24080035724292229,0.0,0.0,Weak
MPWR,1.590068111821856e-06,0.0724390191537471,1.1518297440802593e-07,0.5599266283841108,0.37514089673636325,5.96499577340747e-07,3.530606880114264e-06,Weak
IDCC,1.336941645360136e-06,0.1166198462190817,1.5591392908578512e-07,0.33276849302057426,0.15442827200825948,2.0646158806884506e-07,1.2220204858565752e-06,Weak
SONO,0.0,-0.0170054189717913,-0.0,0.5018927025212329,0.25063037818628436,0.0,0.0,Weak
AAPL,1.6837142538765616e-06,0.0347367262993445,5.848672120321516e-08,0.29195065296956474,0.18702295105561342,3.1489320849439484e-07,1.863813773964297e-06,Weak
FTNT,0.0,0.0187113675223158,0.0,0.45495903863448234,0.2247481191715079,0.0,0.0,Weak
APPF,0.0,0.0564049279950597,0.0,0.43877845418298195,0.18136695739154038,0.0,0.0,Weak
MSI,1.1467455650301874e-06,0.0423181182528168,4.852811442684069e-08,0.23439033655542457,0.1324032620312978,1.5183285352992054e-07,8.986797940242233e-07,Weak
ADP,0.03649270018242865,0.0202337201457324,0.000738383082853379,0.22165464325881287,0.13566869071263188,0.004950916854318718,0.02930386168362049,Strong
LRCX,1.402609938274251e-06,0.0616165343686141,8.642396346743508e-08,0.45588917671189166,0.3188092726743905,4.4716505426708575e-07,2.646714393630125e-06,Weak
NTAP,0.03649293423423365,0.024930677516968,0.0009097935750416008,0.32670752020084143,0.20925679514849596,0.007636394463420566,0.045198869967375925,Strong
VST,0.03649542342446785,0.1437276892915393,0.005245402878515081,0.49791466448319555,0.2729674274020737,0.009962061844126367,0.05896420621754182,Strong
CEG,0.03649504177759635,0.140091747648752,0.005112654183137689,0.484721050811054,0.26192888239887874,0.0095591055059062,0.0565791577210312,Strong
AWR,4.983831800646191e-07,-0.00653536202344,-3.257114508115571e-09,0.23861390812300023,0.07022422090469926,3.499857053204433e-08,2.0715219022529758e-07,Weak
