sector,weight
ETF,0.25
Information Technology,0.20499998046662646
Healthcare,0.12000007183675114
Bonds,0.1
Industrials,0.09000010179286232
Consumer Discretionary,0.09000005173850792
Renewable Energy,0.0749995392720165
Utilities,0.040000245035660964
Communication Services,0.030000009857574617
