sector,weight
ETF,0.25
Information Technology,0.20499994637603228
Healthcare,0.12000010582860408
Industrials,0.10749990653031473
Bonds,0.1
Consumer Discretionary,0.09000007573778238
Renewable Energy,0.06749872597183616
Utilities,0.030001227052726967
Communication Services,0.030000012502703254
