Symbol,Name,"Market Cap","P/E ttm","EPS ttm","Net Income(a)",Beta,Dividend(a),"Div Yield(a)","Latest Earnings"
AA,"Alcoa Corp",9312706000,8.67,4.15,60000000,2.2,0.4,1.11%,2025-10-22
AAL,"American Airlines Gp",7825571000,7.8,1.52,846000000,1.36,0.00,0.00%,2025-10-23
AAON,"Aaon Inc",7928073000,63.97,1.52,168560000,1.05,0.38,0.39%,2025-11-06
ACI,"Albertsons Companies Inc Cl A",10843320000,9.68,2.09,958600000,0.49,0.57,2.89%,2025-10-14
ACM,"Aecom Technology Corp",17333204000,25.31,5.17,402270000,1.03,1.04,0.79%,2025-11-17
ADC,"Agree Realty Corp",8306590000,17.91,1.68,189200000,0.55,3.054,4.07%,2025-10-21
AFG,"American Financial Group",10933786000,13.98,9.38,887000000,0.74,9.28,7.08%,2025-11-04
AGCO,"Agco Corp",8033590000,24.41,4.41,-424800000.,1.23,1.16,1.08%,2025-10-31
AIT,"Applied Industrial Technologies",9359226000,24.5,10.12,392990000,0.96,1.75,0.71%,2025-10-28
ALE,"Allete Inc",3906335000,20.15,3.34,179300000,0.83,2.895,4.30%,2025-10-29
ALGM,"Allegro Microsystems Inc",5376337000,290.55,0.1,-73010000.,1.72,0.00,0.00%,2025-10-30
ALK,"Alaska Air Group",5455316000,11.18,4.23,395000000,1.4,0.00,0.00%,2025-10-23
ALLY,"Ally Financial",12256915000,11.38,3.3,668000000,1.18,1.2,3.01%,2025-10-17
ALV,"Autoliv Inc",9060921000,12.12,9.25,647000000,1.33,2.95,2.50%,2025-10-17
AM,"Antero Midstream Corp",8646513000,19.02,0.95,400890000,0.85,0.9,4.98%,2025-10-29
AMG,"Affiliated Managers Group",6693868000,10.74,21.94,511600000,1.21,0.04,0.02%,2025-11-03
AMH,"American Homes 4 Rent",12162139000,18.02,1.13,412430000,0.75,1.16,3.54%,2025-10-29
AMKR,"Amkor Technology",7733105000,25.44,1.23,354010000,1.98,0.736,2.35%,2025-10-27
AN,"Autonation Inc",8095856000,11.22,19.13,692200000,0.85,0.00,0.00%,2025-10-23
ANF,"Abercrombie & Fitch Company",3223353000,6.86,9.98,566220000,1.45,0.00,0.00%,2025-11-25
APG,"Api Group Corp",14240006000,26.01,1.32,250000000,1.62,0.00,0.00%,2025-10-30
APPF,"Appfolio Cl A",8443740000,70.72,3.33,204070000,0.83,0.00,0.00%,2025-10-30
AR,"Antero Resources Corp",9508896000,20.38,1.51,57230000,0.56,0.00,0.00%,2025-10-29
ARMK,"Aramark Holdings Corp",10180219000,21.64,1.79,262520000,1.21,0.42,1.08%,2025-11-10
ARW,"Arrow Electronics",6136463000,12.44,9.58,392070000,1.09,0.00,0.00%,2025-10-30
ASB,"Associated Banc-Corp",4040058000,10.28,2.37,123150000,0.82,0.92,3.78%,2025-10-23
ASGN,"On Assignment",2021253000,9.6,4.8,175200000,0.93,0.00,0.00%,2025-10-22
ASH,"Ashland Inc",2233195000,13.69,3.57,169000000,0.49,1.64,3.36%,2025-11-05
ATI,"Ati Inc",11072045000,28.19,2.85,367800000,1.29,0.00,0.00%,2025-10-28
ATR,Aptargroup,8521047000,22.03,5.87,374540000,0.55,1.8,1.39%,2025-10-30
AVAV,"Aerovironment Inc",17505656000,129.85,2.7,43620000,0.99,0.00,0.00%,2025-12-03
AVNT,"Avient Corp",2870726000,11.61,2.7,169500000,1.41,1.08,3.44%,2025-11-05
AVT,"Avnet Inc",4335295000,15.14,3.44,240220000,1.06,1.34,2.57%,2025-10-29
AVTR,"Avantor Inc",10076102000,14.78,1,711500000,0.98,0.00,0.00%,2025-10-29
AXTA,"Axalta Coating Systems Ltd",6163696000,11.76,2.42,391000000,1.25,0.00,0.00%,2025-10-28
AYI,"Acuity Inc",10928008000,21.08,16.92,396600000,1.64,0.83,0.23%,2025-10-01
BBWI,"Bath & Body Works Inc",5463982000,7.7,3.44,798000000,1.52,0.8,3.02%,2025-11-24
BC,"Brunswick Corp",4175305000,20.42,3.13,130100000,1.36,1.71,2.68%,2025-10-23
BCO,"Brink's Company",4649062000,15.85,7.04,162900000,1.44,0.995,0.89%,2025-11-05
BDC,"Belden Inc",4456853000,15.82,7.11,198430000,1.26,0.2,0.18%,2025-10-30
BHF,"Brighthouse Financial Inc",2659854000,2.66,17.47,388000000,0.86,0.00,0.00%,2025-11-06
BILL,"Bill Holdings Inc",5191209000,170.27,0.3,23800000,1.42,0.00,0.00%,2025-11-06
BIO,"Bio-Rad Laboratories",8389761000,30.82,10.06,-1844200000.,0.97,0.00,0.00%,2025-10-29
BJ,"Bj's Wholesale Club Holdings Inc",12409816000,21.46,4.39,534420000,0.36,0.00,0.00%,2025-11-20
BKH,"Black Hills Corp",4596232000,15.89,3.97,273100000,0.73,2.678,4.24%,2025-11-05
BLD,"Topbuild Corp",12241586000,20.97,20.75,622600000,1.66,0.00,0.00%,2025-11-04
BLKB,"Blackbaud Inc",3058007000,25.42,2.48,-283170000.,1.11,0.00,0.00%,2025-10-29
BMRN,"Biomarin Pharmaceuticals",10232479000,14.44,3.69,426860000,0.33,0.00,0.00%,2025-11-04
BRBR,"Bellring Brands Inc Cl A",4157307000,15.21,2.17,246500000,0.75,0.00,0.00%,2025-11-17
BRKR,"Bruker Corp",5610568000,17.2,2.15,113100000,1.2,0.2,0.54%,2025-11-04
BRX,"Brixmor Property Group Inc",8332042000,12.54,1.1,339270000,1.33,1.15,4.22%,2025-10-27
BURL,"Burlington Stores Inc",17305626000,31.16,8.81,503640000,1.74,0.00,0.00%,2025-11-25
BWXT,"Bwx Technologies Inc",18564964000,55.2,3.68,281940000,0.78,0.99,0.49%,2025-11-03
BYD,"Boyd Gaming Corp",6604756000,11.82,6.97,577950000,1.3,0.71,0.86%,2025-10-23
CACI,"Caci International",11344940000,19.46,26.51,499830000,0.63,0.00,0.00%,2025-10-22
CADE,"Cadence Bank",6656533000,12.73,2.87,523600000,0.88,1.075,2.94%,2025-10-20
CAR,"Avis Budget Group",5292826000,0,-7.83,-1821000000.,2.03,0.00,0.00%,2025-10-27
CART,"Maplebear Inc [Instacart]",10139729000,22.25,1.73,457000000,1.1,0.00,0.00%,2025-11-10
CASY,"Casey's General Stor",21083480000,36.4,15.58,546520000,0.68,2.07,0.37%,2025-12-08
CAVA,"Cava Group Inc",7288869000,108.38,0.58,130320000,2.5,0.00,0.00%,2025-11-11
CBSH,"Commerce Bancshares",7163005000,12.81,4.2,526330000,0.59,1.095,2.04%,2025-10-16
CBT,"Cabot Corp",3705658000,9.46,7.36,380000000,0.88,1.76,2.53%,2025-11-03
CCK,"Crown Cork & Seal Company",10920722000,12.68,7.4,424000000,0.73,1.03,1.10%,2025-10-20
CDP,"Copt Defense Properties",3167630000,10.67,1.28,138930000,0.94,1.21,4.31%,2025-10-30
CELH,"Celsius Holdings Inc",16730379000,82.1,0.79,145070000,1.38,0.00,0.00%,2025-11-05
CFR,"Cullen/Frost Bankers",7879811000,13.19,9.29,582540000,0.71,3.9,3.18%,2025-10-30
CG,"The Carlyle Group",20667822000,14.58,3.92,1020400000,2,1.4,2.45%,2025-11-05
CGNX,"Cognex Corp",7730070000,79.38,0.58,106170000,1.5,0.32,0.70%,2025-10-29
CHDN,"Churchill Downs IN",6348326000,14.94,6.06,426800000,0.83,0.409,0.45%,2025-10-22
CHE,"Chemed Inc",6419836000,21.5,20.49,302000000,0.43,2.1,0.48%,2025-10-28
CHH,"Choice Hotels International",4611995000,14.16,7.04,299670000,0.83,1.15,1.15%,2025-11-05
CHRD,"Chord Energy Corp",5138332000,7.05,12.72,848630000,0.94,5.34,5.95%,2025-11-05
CHWY,"Chewy Inc",15530860000,104,0.36,392740000,1.62,0.00,0.00%,2025-12-03
CIEN,"Ciena Corp",24113520000,134.61,1.27,83960000,1.15,0.00,0.00%,2025-12-11
CIVI,"Civitas Resources Inc",2562976000,4.24,6.53,838720000,0.98,2,7.23%,2025-11-06
CLF,"Cleveland-Cliffs Inc",6589338000,0,-2.43,-754000000.,1.96,0.00,0.00%,2025-10-20
CLH,"Clean Harbors",12721745000,33.31,7.12,402300000,1.18,0.00,0.00%,2025-10-29
CMA,"Comerica Inc",9629092000,14.35,5.24,698000000,0.96,2.84,3.79%,2025-10-17
CMC,"Commercial Metals Company",6422601000,18.22,2.68,485490000,1.32,0.72,1.25%,2025-10-16
CNH,"CNH Industrial N.V.",13058560000,15.82,0.66,1246000000,1.51,0.00,0.00%,2025-11-07
CNM,"Core & Main Inc Cl A",10303611000,21.66,2.41,411000000,0.98,0.00,0.00%,2025-12-02
CNO,"Cno Financial Group",3776470000,9.55,4.08,404000000,0.9,0.66,1.69%,2025-11-03
