Symbol,Name,"Market Cap","P/E ttm","EPS ttm","Net Income(a)",Beta,Dividend(a),"Div Yield(a)","Latest Earnings"
CNX,"CNX Resources Corp",4523994000,14.09,2.27,-90490000.,0.55,0.00,0.00%,2025-10-30
CNXC,"Concentrix Corp",2792226000,4.4,10.2,251220000,0.5,1.331,2.97%,2025-09-25
COHR,"Coherent Corp",18257408000,42.31,2.75,49360000,2.03,0.00,0.00%,2025-11-05
COKE,"Coca-Cola Consolidated Inc",11441148000,17.57,7.49,633130000,0.7,1,0.76%,2025-10-29
COLB,"Columbia Banking Sys",5114520000,8.59,2.83,533680000,0.6,1.44,5.92%,2025-10-30
COLM,"Columbia Sprtswr",2860637000,13.32,3.92,223270000,0.98,1.2,2.30%,2025-10-30
COTY,"Coty Inc",3785760000,19.73,0.22,-367900000.,1.98,0.00,0.00%,2025-11-05
CPRI,"Capri Holdings Ltd",2521437000,0,-3.3,-1182000000.,1.82,0.00,0.00%,2025-11-06
CR,"Crane Company",10573686000,33.29,5.52,294700000,1.22,0.895,0.49%,2025-10-27
CROX,"Crocs Inc",4533211000,6.22,13.35,950070000,1.43,0.00,0.00%,2025-10-30
CRS,"Carpenter Technology Corp",11875762000,31.85,7.48,376000000,1.46,0.8,0.34%,2025-10-23
CRUS,"Cirrus Logic Inc",6475532000,19.35,6.52,331510000,1.09,0.00,0.00%,2025-11-04
CSL,"Carlisle Companies Inc",13845764000,16.09,20.13,1311800000,1,4.1,1.27%,2025-10-29
CUBE,Cubesmart,9611676000,15.97,1.64,391180000,0.96,2.08,4.93%,2025-10-30
CUZ,"Cousins Properties Inc",4503222000,9.57,0.37,45960000,1.39,1.28,4.77%,2025-10-30
CVLT,"Commvault Systems",7642673000,79.95,2.15,76110000,0.72,0.00,0.00%,2025-10-28
CW,"Curtiss-Wright Corp",20540916000,44.36,12.29,404980000,1.14,0.9,0.17%,2025-11-05
CXT,"Crane Nxt CO",3838967000,17.28,3.87,184100000,1.36,0.68,1.02%,2025-11-05
CYTK,Cytokinetics,6992755000,0,-5.1,-589530000.,0.67,0.00,0.00%,2025-11-05
DAR,"Darling International Inc",5011333000,47.28,0.67,278880000,1.22,0.00,0.00%,2025-10-23
DBX,"Dropbox Inc",7854304000,15.4,1.89,452300000,0.67,0.00,0.00%,2025-11-06
DCI,"Donaldson Company",9587332000,22.49,3.68,367000000,0.99,1.14,1.38%,2025-12-02
DINO,"HF Sinclair Corp",9702021000,56.37,0.92,177000000,1,2,3.86%,2025-10-30
DKS,"Dick's Sporting Goods Inc",18331000000,16.21,14.12,1165310000,1.06,4.738,2.07%,2025-11-25
DLB,"Dolby Laboratories",6589275000,22.69,3.03,261830000,0.92,1.32,1.92%,2025-11-18
DOCS,"Doximity Inc Cl A",12655792000,56.31,1.2,223190000,1.38,0.00,0.00%,2025-11-06
DOCU,"Docusign Inc",13660995000,51.46,1.32,1067890000,1.02,0.00,0.00%,2025-12-04
DT,"Dynatrace Inc",14514499000,64.19,0.75,483680000,0.88,0.00,0.00%,2025-11-06
DTM,"Dt Midstream Inc",11072621000,27.66,3.94,354000000,0.78,3.195,2.93%,2025-10-30
DUOL,"Duolingo Inc Cl A",14847241000,133.34,2.43,88570000,0.86,0.00,0.00%,2025-11-05
EEFT,"Euronet Worldwide",3580180000,11.14,7.84,306000000,1.21,0.00,0.00%,2025-10-23
EGP,"Eastgroup Properties",9592651000,20.89,4.6,227750000,1.02,5.75,3.20%,2025-10-23
EHC,"Encompass Health Corp",12545174000,25.06,4.97,455700000,0.93,0.7,0.56%,2025-10-29
ELAN,"Elanco Animal Health Inc",10641756000,23.8,0.9,338000000,1.65,0.00,0.00%,2025-11-05
ELF,"E.L.F. Beauty Inc",8121684000,62.81,2.18,112090000,1.57,0.00,0.00%,2025-11-05
ELS,"Equity Lifestyle Properties",12088620000,20.79,1.93,367010000,0.71,2.023,3.24%,2025-10-22
ENS,"Enersys Inc",4536504000,11.77,10.29,363740000,1.09,0.982,0.81%,2025-11-05
ENSG,"The Ensign Group IN",10503708000,33.46,5.44,297970000,0.93,0.25,0.14%,2025-10-23
ENTG,"Entegris Inc",13786505000,30.93,2.94,292790000,1.38,0.4,0.44%,2025-10-30
EPR,"Entertainment Properties Trust",4146093000,10.96,2.03,146070000,1.28,3.49,6.41%,2025-10-29
EQH,"Axa Equitable Holdings Inc",14201002000,8.09,5.86,1307000000,1.1,1.02,2.15%,2025-11-04
ESAB,"Esab Corp",7397388000,23.71,5.14,264840000,1.23,0.36,0.30%,2025-10-29
ESNT,"Essent Group Ltd",5862773000,8.69,6.85,729400000,0.88,1.21,2.03%,2025-11-07
EVR,"Evercore Partners Inc",12161840000,27.74,11.36,378280000,1.52,3.28,1.04%,2025-10-29
EWBC,"East West Bancorp",13228156000,11.24,8.54,1165590000,0.93,2.35,2.45%,2025-10-21
EXEL,"Exelixis Inc",10566218000,19.05,2.06,521270000,0.38,0.00,0.00%,2025-11-04
EXLS,"Exlservice Holdings",6515435000,26.72,1.51,198300000,0.86,0.00,0.00%,2025-10-28
EXP,"Eagle Materials Inc",7698201000,17.27,13.74,463420000,1.31,1,0.42%,2025-11-04
EXPO,"Exponent Inc",3408817000,33.75,2,109000000,0.91,1.18,1.75%,2025-10-30
FAF,"First American Corp",6084586000,11.81,5.06,131100000,1.27,2.17,3.63%,2025-10-22
FBIN,"Fortune Brands Innovations Inc",6013954000,13.18,3.8,471900000,1.33,0.99,1.98%,2025-10-30
FCFS,"Firstcash Holdings Inc",6984826000,20.58,7.65,258820000,0.69,1.56,0.99%,2025-10-30
FCN,"Fti Consulting",4926506000,19.44,7.83,280090000,0.16,0.00,0.00%,2025-10-23
FFIN,"First Finl Bkshs Inc",4512070000,18.33,1.72,223510000,0.86,0.74,2.35%,2025-10-16
FHI,"Federated Investors",3995115000,11.81,4.36,268310000,0.8,1.3,2.52%,2025-10-30
FHN,"First Horizon Corp",10297129000,11.2,1.72,775000000,0.67,0.6,2.96%,2025-10-15
FIVE,"Five Below Inc",8505565000,27.69,5.57,253610000,1.18,0.00,0.00%,2025-12-03
FIX,"Comfort Systems USA",29209838000,42.54,19.46,522430000,1.58,1.7,0.21%,2025-10-23
FLEX,"Flextronics Intl Ltd",23322696000,23.99,2.59,838000000,1.15,0.00,0.00%,2025-10-29
FLG,"Flagstar Financial Inc",4687675000,0,-1.4,-1118000000.,1.17,0.04,0.35%,2025-10-24
FLO,"Flowers Foods",2694631000,10.63,1.2,248120000,0.27,0.975,7.64%,2025-11-14
FLR,"Fluor Corp",7541626000,21.7,2.15,2145000000,1.48,0.00,0.00%,2025-11-07
FLS,"Flowserve Corp",6608413000,17.13,2.95,282760000,1.27,0.84,1.66%,2025-10-28
FN,Fabrinet,14645722000,44.22,9.27,332530000,1.05,0.00,0.00%,2025-11-03
FNB,"F.N.B. Corp",5419483000,10.27,1.4,465000000,0.94,0.48,3.18%,2025-10-16
FND,"Floor & Decor Holdings Inc",7679445000,37.53,1.9,205870000,1.7,0.00,0.00%,2025-10-30
FNF,"Fidelity National Financial",15009979000,12.06,4.58,1270000000,1.05,2,3.62%,2025-11-05
FOUR,"Shift4 Payments Inc",6533281000,18.8,3.93,229600000,1.69,0.00,0.00%,2025-11-06
FR,"First Industrial Realty Trust",7297776000,18.94,2.05,287550000,1.07,1.705,3.09%,2025-10-15
FTI,"Technipfmc Plc",14763694000,16.4,2.19,842900000,1.04,0.2,0.56%,2025-10-23
FYBR,"Frontier Communications Parent Inc",9394284000,0,-1.55,-322000000.,0.94,0.00,0.00%,2025-10-28
G,"Genpact Ltd",6873209000,12.89,3.06,513670000,0.89,0.663,1.68%,2025-11-06
GAP,"Gap Inc",8014615000,9.23,2.34,844000000,2.1,0.645,2.99%,2025-11-20
GATX,"GATX Corp",6123911000,19.91,8.64,284200000,1.18,2.41,1.40%,2025-10-21
GBCI,"Glacier Bancorp Inc",5209131000,21.02,1.92,190140000,0.79,1.32,3.00%,2025-10-16
GEF,"Greif Bros Corp",2803509000,15.78,3.74,268800000,1,2.18,3.69%,2025-11-05
GGG,"Graco Inc",13636616000,29.39,2.8,486080000,1.07,1.08,1.31%,2025-10-22
GHC,"Graham Holdings Company",4264888000,14.87,65.8,724630000,0.88,8.92,0.91%,2025-10-29
GLPI,"Gaming & Leisure",12687249000,11.74,2.58,784620000,0.74,3.08,6.87%,2025-10-30
GME,"Gamestop Corp",10333261000,29.58,0.78,131300000,-0.86,0.00,0.00%,2025-12-09
GMED,"Globus Medical Inc",8046697000,18.56,3.21,102980000,1.12,0.00,0.00%,2025-11-06
GNTX,"Gentex Corp",5708909000,14.29,1.82,404490000,0.84,0.48,1.85%,2025-10-24
GPK,"Graphic Packaging Holding Company",5086596000,7.95,2.16,658000000,0.74,0.43,2.50%,2025-11-04
GT,"Goodyear Tire Rubber",1962276000,12.47,0.55,70000000,1.28,0.00,0.00%,2025-11-03
GTLS,"Chart Industries IN",8984306000,21.52,9.29,218500000,1.71,0.00,0.00%,2025-10-29
GTM,"Zoominfo Technologies Inc Cl A",3211801000,15.51,0.65,29100000,1.27,0.00,0.00%,2025-11-03
GWRE,"Guidewire Software Inc",20649230000,177.01,1.38,69800000,1.21,0.00,0.00%,2025-12-04
GXO,"Gxo Logistics Inc",6321199000,20.84,2.65,134000000,1.64,0.00,0.00%,2025-11-04
H,"Hyatt Hotels Corp",13884474000,58.16,2.5,1296000000,1.41,0.6,0.41%,2025-11-06
HAE,"Haemonetics Corp",2421376000,10.81,4.65,167680000,0.37,0.00,0.00%,2025-11-06
HALO,"Halozyme Therapeutic",7840231000,13.79,4.86,444090000,1.16,0.00,0.00%,2025-10-30
HGV,"Hilton Grand Vacations Inc",3875456000,24.31,1.79,47000000,1.65,0.00,0.00%,2025-10-30
HIMS,"Hims & Hers Health Inc",11251275000,92.19,0.54,126040000,2.25,0.00,0.00%,2025-11-03
HLI,"Houlihan Lokey",13372638000,26.42,7.2,399710000,0.87,2.34,1.23%,2025-10-30
HLNE,"Hamilton Lane Inc Cl A",6572350000,24.39,4.84,217420000,1.2,2.06,1.75%,2025-11-04
HOG,"Harley-Davidson Inc",3250327000,13.85,1.93,455360000,1.27,0.713,2.67%,2025-11-04
HOMB,"Home Bancshares Inc",5350695000,12.07,2.14,402240000,0.78,0.79,2.91%,2025-10-15
HQY,Healthequity,7879827000,31.54,2.9,96700000,0.47,0.00,0.00%,2025-12-08
HR,"Healthcare Realty Trust Inc.",6539890000,11.7,-1.15,-654490000.,0.96,1.17,6.29%,2025-10-30
HRB,"H&R Block",6724578000,11.07,4.75,605770000,0.31,1.545,2.94%,2025-11-06
HWC,"Hancock Whitney Corp",4684409000,9.8,5.48,460820000,1.11,1.75,3.17%,2025-10-14
HXL,"Hexcel Corp",4914607000,33.21,1.86,132100000,1.33,0.66,1.07%,2025-10-22
IBOC,"Intl Bancshares",4073704000,9.9,6.62,409170000,0.8,1.4,2.14%,2025-11-06
IDA,"Idacorp Inc",7341464000,23.92,5.68,289170000,0.56,3.44,2.53%,2025-10-30
ILMN,"Illumina Inc",14672201000,22.95,4.16,-1223000000.,1.4,0.00,0.00%,2025-10-30
INGR,"Ingredion Inc",7794781000,10.54,11.52,647000000,0.74,3.22,2.65%,2025-11-04
IPGP,"Ipg Photonics Corp",3580678000,78.53,1.08,-181530000.,0.98,0.00,0.00%,2025-11-04
IRDM,"Iridium Comm Inc",1971598000,18.77,0.99,112780000,0.7,0.57,3.07%,2025-10-23
IRT,"Independence Realty Trust Inc",3748087000,13.82,0.12,39290000,0.95,0.66,4.12%,2025-10-29
ITT,"ITT Inc",13489320000,28.59,6.05,518300000,1.38,1.372,0.79%,2025-10-29
JAZZ,"Jazz Pharma Plc",8253264000,44.03,3.09,560120000,0.28,0.00,0.00%,2025-11-05
JEF,"Jefferies Financial Group Inc",10664675000,16.52,3.13,743380000,1.51,1.55,3.00%,2025-09-29
JHG,"Janus Henderson Group Plc",6513683000,11.38,3.67,408900000,1.54,1.58,3.78%,2025-10-30
JLL,"Jones Lang Lasalle Inc",14240359000,19.7,15.26,546800000,1.39,0.00,0.00%,2025-11-05
KBH,"KB Home",4009601000,8.2,5.51,655020000,1.4,1,1.62%,2025-09-24
KBR,"KBR Inc",5589166000,11.92,3.64,375000000,0.68,0.645,1.49%,2025-10-30
KD,"Kyndryl Hldgs Inc",6379575000,27.06,1.02,251000000,1.85,0.00,0.00%,2025-11-04
KEX,"Kirby Corp",4774247000,14.65,5.84,286710000,1,0.00,0.00%,2025-10-29
KMPR,"Kemper Corp",3089465000,7.75,6.35,317800000,1.25,1.27,2.58%,2025-10-29
KNF,"Knife River Holding CO",3678627000,24.13,2.69,201680000,0.57,0.00,0.00%,2025-11-03
KNSL,"Kinsale Capital Group Inc",10425348000,25.85,17.31,414840000,1.09,0.66,0.15%,2025-10-23
KNX,"Knight-Swift Transporation Inc",7634686000,35.37,1.33,117630000,1.14,0.7,1.49%,2025-10-22
KRC,"Kilroy Realty Corp",4767248000,8.92,1.84,210970000,1.24,2.16,5.36%,2025-10-27
KRG,"Kite Realty Group Trust",4907231000,10.73,0.79,4070000,1.15,1.08,4.84%,2025-10-29
KTOS,"Kratos Defense & Security Inc",14030159000,268.13,0.31,16300000,1.12,0.00,0.00%,2025-11-06
LAD,"Lithia Motors",7989970000,9.19,33.9,802000000,1.28,2.16,0.69%,2025-10-22
LAMR,"Lamar Advertis A",12047085000,14.55,4.3,361870000,1.37,6.3,5.29%,2025-11-06
LEA,"Lear Corp",5291869000,8.01,12.42,506600000,1.32,3.08,3.10%,2025-10-31
LECO,"Lincoln Elec Holdings",12969814000,24.82,9.47,466110000,1.2,3,1.28%,2025-10-30
LFUS,"Littelfuse Inc",6565493000,27.06,9.79,100190000,1.45,2.85,1.08%,2025-10-29
LITE,"Lumentum Holdings",11684336000,0,-0.47,25900000,1.42,0.00,0.00%,2025-11-04
LIVN,"Livanova Plc OR Sh",2933712000,16.79,3.2,63230000,0.95,0.00,0.00%,2025-11-05
LNTH,"Lantheus Holdings",3780467000,10.22,5.44,312440000,0.09,0.00,0.00%,2025-11-05
LNW,"Light & Wonder Inc",6391724000,13.38,5.69,336000000,1.45,0.00,0.00%,2025-11-05
LOPE,"Grand Canyon Educati",5943208000,24.81,8.53,226230000,0.76,0.00,0.00%,2025-11-05
LPX,"Louisiana-Pacific Corp",6277439000,19.99,4.51,420000000,1.8,1.1,1.22%,2025-11-05
LSCC,"Lattice Semicond",9604624000,212.61,0.33,61130000,1.66,0.00,0.00%,2025-11-03
LSTR,"Landstar System",4507791000,27.27,4.77,195950000,0.82,3.52,2.71%,2025-10-28
M,"Macy's Inc",4784777000,7.39,2.41,582000000,1.78,0.721,4.05%,2025-12-10
MANH,"Manhattan Assoc",11902114000,53.2,3.7,218360000,1.12,0.00,0.00%,2025-10-21
MASI,"Masimo Corp",7973824000,26.83,5.47,-304900000.,1.28,0.00,0.00%,2025-11-04
MAT,"Mattel Inc",5931702000,11.16,1.65,541820000,0.68,0.00,0.00%,2025-10-21
MEDP,"Medpace Holdings Inc",14835071000,39.26,13.45,404390000,1.4,0.00,0.00%,2025-10-22
MIDD,"Middleby Corp",6760471000,13.84,9.64,428430000,1.52,0.00,0.00%,2025-10-30
MKSI,"Mks Inc",9168546000,18.57,7.35,190000000,1.97,0.88,0.64%,2025-11-05
MLI,"Mueller Industries",10911796000,16.32,6.04,604880000,1.02,0.95,0.96%,2025-10-28
MMS,"Maximus Inc",4799892000,11.77,7.24,306910000,0.57,1.2,1.41%,2025-11-20
MORN,"Morningstar Inc",9047603000,24.46,8.77,369900000,1,1.82,0.85%,2025-10-29
MP,"MP Materials Corp",14307749000,0,-0.61,-65420000.,2.32,0.00,0.00%,2025-11-06
MSA,"Msa Safety Inc",6461336000,21.47,7.69,284970000,0.99,2.08,1.26%,2025-10-28
MSM,"Msc Industrial Direct Company",4782568000,23.28,3.69,258590000,0.95,3.4,3.96%,2025-10-23
MTDR,"Matador Resources Company",5354487000,5.94,7.24,885320000,1.41,1.188,2.76%,2025-10-21
MTG,"Mgic Investment Corp",6205679000,8.8,3.06,762990000,0.88,0.54,2.01%,2025-10-29
MTN,"Vail Resorts",5367677000,20.19,7.41,280000000,0.86,8.88,5.94%,2025-12-08
MTSI,"Macom Technology S",10189123000,61.91,2.21,76860000,1.48,0.00,0.00%,2025-11-06
MTZ,"Mastec Inc",15928366000,42.5,4.75,162790000,1.82,0.00,0.00%,2025-10-30
MUR,"Murphy Oil Corp",3977941000,14.52,1.92,407170000,1.03,1.275,4.57%,2025-11-05
MUSA,"Murphy USA Inc",7471402000,16.04,24.15,502500000,0.42,2,0.52%,2025-10-29
MZTI,"The Marzetti Company",4634799000,25.09,6.71,167350000,0.43,3.8,2.26%,2025-10-30
NBIX,"Neurocrine Bioscienc",13894405000,41.45,3.38,341300000,0.21,0.00,0.00%,2025-10-28
NEU,"Newmarket Corp",7263189000,15.32,50.45,462410000,0.45,10.75,1.39%,2025-10-30
NFG,"National Fuel Gas Company",7744194000,13.27,6.46,77510000,0.58,2.1,2.45%,2025-11-05
NJR,"Newjersey Resources Corp",4691061000,11.68,4,289780000,0.64,1.825,3.91%,2025-11-19
NLY,"Annaly Capital Management Inc",13355180000,7.35,2.83,1001910000,1.25,2.75,13.22%,2025-10-22
NNN,"NNN REIT Inc",8072318000,12.65,2.1,396840000,0.95,2.34,5.47%,2025-11-04
NOV,"Nov Inc",4701481000,10.38,1.22,635000000,1.26,0.51,4.03%,2025-10-27
NOVT,"Novanta Inc",3797415000,33.94,3.11,64090000,1.49,0.00,0.00%,2025-11-04
NSA,"National Storage Affiliates Tru",2475671000,13.96,0.62,111520000,1.08,2.28,7.07%,2025-11-03
NSP,"Insperity Inc",1774822000,44.44,1.06,91000000,0.46,2.4,5.09%,2025-11-03
NTNX,"Nutanix Inc",18187008000,98.06,0.69,188370000,0.51,0.00,0.00%,2025-11-25
NVST,"Envista Holdings Corp",3316993000,23.21,0.86,-1118600000.,1.01,0.00,0.00%,2025-10-30
NVT,"Nvent Electric Plc",15986866000,33.56,2.96,331800000,1.38,0.99,1.00%,2025-10-31
NWE,"Northwestern Energy Group Inc",3638763000,17.43,3.4,224110000,0.39,2.63,4.44%,2025-10-29
NXST,"Nexstar Media Group Inc",5764283000,9.87,19.26,722000000,1.01,7.27,3.82%,2025-11-06
NXT,"Nextracker Inc Cl A",12881746000,22.85,3.81,509170000,2.27,0.00,0.00%,2025-10-23
NYT,"New York Times Company",9148799000,25.08,2.24,293830000,1.16,0.67,1.19%,2025-11-05
OC,"Owens Corning Inc",10617410000,8.59,14.78,647000000,1.32,2.67,2.10%,2025-11-05
OGE,"Oge Energy Corp",9364868000,19.06,2.44,441500000,0.59,1.689,3.63%,2025-10-29
OGS,"One Gas Inc",4924636000,19.59,4.19,222850000,0.85,2.67,3.25%,2025-11-03
OHI,"Omega Healthcare Investors",12112700000,13.69,1.62,406330000,0.7,2.68,6.53%,2025-10-30
OKTA,"Okta Inc Cl A",15306631000,74.73,1.17,28000000,0.84,0.00,0.00%,2025-12-02
OLED,"Universal Display",7082566000,27.7,5.38,222080000,1.55,1.75,1.17%,2025-11-06
