Symbol,Name,"Market Cap","P/E ttm","EPS ttm","Net Income(a)",Beta,Dividend(a),"Div Yield(a)","Latest Earnings"
ASTH,"Astrana Health Inc",1794481000,62.76,0.51,43150000,0.8,0.00,0.00%,2025-11-06
ATEN,"A10 Networks Inc",1259791000,24.25,0.72,50140000,1.27,0.24,1.37%,2025-11-04
ATGE,"Adtalem Global Education Inc",5497971000,22.65,6.68,237070000,0.86,0.00,0.00%,2025-10-30
AUB,"Atlantic Union Bancshares Corp",4832548000,11.23,3.02,209130000,0.87,1.36,4.01%,2025-10-23
AVA,"Avista Corp",3117907000,17.32,2.22,180000000,0.39,1.945,5.06%,2025-11-05
AVNS,"Avanos Medical Inc",530839000,9.38,1.22,-392100000.,1.15,0.00,0.00%,2025-10-29
AWI,"Armstrong World Industries Inc",8617857000,28.22,7.06,264900000,1.45,1.232,0.62%,2025-10-28
AWR,"American States Water Company",2906274000,23.51,3.21,119270000,0.64,1.901,2.52%,2025-11-05
AX,"Axos Financial Inc",4329518000,10.16,7.53,432910000,1.29,0.00,0.00%,2025-10-30
AXL,"American Axle & Manufacturing",644346000,12.34,0.44,33800000,1.53,0.00,0.00%,2025-11-14
AZTA,"Azenta Inc",1419665000,61.94,0.5,-164170000.,1.62,0.00,0.00%,2025-11-11
AZZ,"Azz Inc",2938071000,17.15,5.7,128830000,1.3,0.91,0.93%,2025-10-08
BANC,"First Pactrust Bancorp",2371837000,14.59,1.1,126890000,0.68,0.4,2.49%,2025-10-22
BANF,"Bancfirst Corp",3761585000,16.02,6.95,216350000,0.76,1.87,1.66%,2025-10-16
BANR,"Banner Corp",2135623000,11.25,5.27,168900000,0.91,1.92,3.11%,2025-10-15
BBT,"Beacon Financial Corporation",1088309000,9.5,2.47,61000000,0.76,0.72,3.07%,2025-10-29
BCC,"Boise Cascade L.L.C.",2652047000,10.43,6.81,376350000,1.27,0.88,1.24%,2025-11-03
BCPC,"Balchem Corp",4790034000,32.44,4.55,128480000,0.92,0.87,0.59%,2025-10-21
BDN,"Brandywine Realty Trust",640949000,5.35,-1.88,-195910000.,1.45,0.53,14.36%,2025-10-22
BFH,"Bread Financial Hldgs Inc",2753277000,7.16,8.25,277000000,1.41,0.84,1.42%,2025-10-23
BFS,"Saul Centers",730766000,10.34,1.32,50650000,1.16,2.36,7.87%,2025-11-06
BGC,"Bgc Partners Cl A",4354212000,8.27,1.11,126990000,1.2,0.08,0.87%,2025-11-06
BHE,"Benchmark Electronics",1505389000,22.66,1.85,63330000,1.06,0.68,1.62%,2025-10-29
BJRI,"Bj's Restaurants Inc",678322000,16.14,1.9,16690000,1.34,0.00,0.00%,2025-10-30
BKE,"Buckle Inc",2779360000,13.58,4,195470000,1.06,3.9,7.18%,2025-11-28
BKU,"BankUnited Inc",2724967000,10.62,3.41,232470000,1.27,1.22,3.37%,2025-10-22
BL,"Blackline Inc",3083260000,49.82,1,165810000,0.97,0.00,0.00%,2025-11-06
BLFS,"Biolife Solutions",1308764000,2732,0.01,-20180000.,1.95,0.00,0.00%,2025-11-11
BLMN,"Bloomin' Brands Inc",630354000,4.91,1.51,-128020000.,1.27,0.69,9.31%,2025-11-14
BMI,"Badger Meter",5302650000,39.2,4.59,124940000,0.9,1.42,0.79%,2025-10-21
